INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,MAZDOCK   ,24/02/2026,00002593.30,00002662.00,00002557.00,00002563.40,000000000170800,      294037700.00,           112600,              563,              459
FUTSTK    ,MCX       ,30/12/2025,00011118.00,00011199.00,00010902.00,00010920.00,000000000563500,     9235528375.00,           834125,             6673,             5689
FUTSTK    ,MCX       ,27/01/2026,00011900.00,00011900.00,00010975.00,00010995.00,000000002556750,    11912680750.00,          1068500,             8548,             7198
FUTSTK    ,MCX       ,24/02/2026,00011194.00,00011345.00,00011050.00,00011059.00,000000000075875,      397367250.00,            35500,              284,              260
FUTSTK    ,MFSL      ,30/12/2025,00001660.90,00001679.60,00001640.20,00001652.60,000000001789200,     3258072880.00,          1953200,             4883,             3851
FUTSTK    ,MFSL      ,27/01/2026,00001649.40,00001690.10,00001649.40,00001662.60,000000007119600,     4028271760.00,          2401200,             6003,             4885
FUTSTK    ,MFSL      ,24/02/2026,00001689.00,00001697.00,00001671.60,00001672.90,000000000007600,        7393880.00,             4400,              011,              011
FUTSTK    ,MOTHERSON ,30/12/2025,00000119.25,00000120.00,00000118.29,00000119.52,000000080355900,     5026658527.50,         42115200,             6848,             5624
FUTSTK    ,MOTHERSON ,27/01/2026,00000120.18,00000120.80,00000119.03,00000120.15,000000133141350,     4975793353.50,         41426400,             6736,             5530
FUTSTK    ,MOTHERSON ,24/02/2026,00000120.19,00000121.42,00000119.98,00000120.92,000000002047950,       63936138.00,           528900,              086,              083
FUTSTK    ,MPHASIS   ,30/12/2025,00002827.80,00002869.90,00002789.00,00002804.40,000000002060300,     3845850965.00,          1362625,             4955,             3693
FUTSTK    ,MPHASIS   ,27/01/2026,00002872.20,00002889.40,00002801.70,00002820.20,000000004921400,     4611655235.00,          1624425,             5907,             4407
FUTSTK    ,MPHASIS   ,24/02/2026,00002890.00,00002892.30,00002824.80,00002830.30,000000000031350,       40910292.50,            14300,              052,              042
FUTSTK    ,MUTHOOTFIN,30/12/2025,00003803.90,00003814.90,00003726.40,00003731.60,000000001439625,     4395915122.50,          1168475,             4249,             3221
FUTSTK    ,MUTHOOTFIN,27/01/2026,00003832.90,00003843.00,00003752.30,00003758.10,000000003285700,     5434416130.00,          1435500,             5220,             4137
FUTSTK    ,MUTHOOTFIN,24/02/2026,00003830.30,00003852.00,00003775.00,00003777.00,000000000062700,      104522935.00,            27500,              100,              090
FUTSTK    ,YESBANK   ,30/12/2025,00000021.46,00000021.55,00000021.32,00000021.38,000000458538400,     4990770634.00,        232752400,             7484,             4753
FUTSTK    ,YESBANK   ,27/01/2026,00000021.65,00000021.69,00000021.46,00000021.51,000000789846700,     5379001264.00,        249297600,             8016,             5225
FUTSTK    ,YESBANK   ,24/02/2026,00000021.77,00000021.83,00000021.61,00000021.64,000000036822400,      251247570.00,         11569200,              372,              364
FUTIDX    ,NIFTY     ,30/12/2025,00026080.00,00026100.20,00025934.60,00025957.20,000000010122525,   168260482012.50,          6473475,            86313,            65167
FUTIDX    ,NIFTY     ,27/01/2026,00026231.00,00026272.00,00026101.00,00026121.30,000000009451585,   161702590510.50,          6181890,            95106,            71507
FUTIDX    ,NIFTY     ,24/02/2026,00026370.00,00026409.30,00026245.10,00026265.40,000000000942760,     8322973022.00,           316485,             4869,             3897
FUTIDX    ,FINNIFTY  ,30/12/2025,00027300.20,00027489.20,00027300.20,00027380.00,000000000025610,     1135229231.50,            41470,              638,              578
FUTIDX    ,FINNIFTY  ,27/01/2026,00027647.00,00027681.20,00027448.20,00027543.40,000000000014100,      251320008.00,             9120,              152,              129
* - OPEN_INT as available in the trading system at the end of trading hours.                                                                                                                                                                                                                                                                                                                                                                                                                                        
